FEN,Evaluation
r1bq1k1Q/ppp3p1/3p1r2/4n3/2B5/2P2N2/PP4PP/RNB2K1R b - - 5 17,1155
6k1/1br4p/p5p1/1p2p1P1/1Pr1P3/P4P2/2PR2Q1/1K6 w - - 3 42,1156
4r3/pppQn3/2b3pk/8/3B3P/2N5/PP5P/2K5 w - - 0 31,1157
8/3k4/p2Np3/4P3/2RB4/7q/K1P5/8 w - - 8 44,1158
5k2/4b1p1/p1p1P2p/5P1P/P3K3/1PB5/6P1/8 w - - 1 46,1159
2r1r1k1/1p1b1ppp/pn1q4/3p4/3Nn3/1PN1P1P1/PQR2PBP/R5K1 w - - 2 20,116
8/p1R2pkp/6p1/3pn3/8/1P6/P4PPP/3R2K1 b - - 0 29,1160
6rk/pp6/3p3p/3P1p1n/3N3P/2N5/PP1B3K/6R1 w - - 3 39,1161
r7/P7/5k2/R4p2/7p/5K1P/5P2/8 b - - 3 48,1162
3r1k1r/p4ppp/1q3N2/3P4/5B2/1P3N2/P1n2PPP/Q3R1K1 w - - 1 22,1163
r1q1r1k1/1p3N2/p2p2p1/3Pn2p/P1p1P1b1/2N1Q3/1P5P/R4R1K w - - 2 27,1164
3N2k1/3qr2n/2pN1p2/1pP1nQp1/3R4/1P4P1/5PK1/7R b - - 0 37,1165
2b4r/p4p1k/2B1p1r1/1p5p/n1pP1B2/7Q/1P3P1P/R6K b - - 6 29,1166
8/8/1N6/2n3k1/1P6/8/P2KP3/8 b - - 0 57,1167
5r2/1q5k/3p2Rp/4p2P/P3P2Q/4P3/6PK/8 b - - 4 55,1168
1r3k2/3P2p1/4R2p/p7/P2P4/6P1/5PK1/8 b - - 0 54,1169
r3kb1r/pp2n1pp/2b1p3/2pqP1B1/2p5/8/PP1NBPPP/R2Q1RK1 w kq - 2 13,117
8/5pk1/4p1pp/Q2n4/Pp2q2P/1P3RP1/5PK1/8 w - - 1 54,1170
4knQ1/3n4/6pB/2qP1p2/2B1p3/2P3P1/5PK1/8 w - - 1 53,1171
3rkb1r/2R1n2p/1n2p1p1/1qp1P3/2p5/5B2/1P1NQ1PP/2B1R1K1 w k - 3 22,1172
1r4k1/4pp2/3p2p1/qP1Pn3/3NP3/3nB2P/2Q2PB1/1R4K1 w - - 1 33,1173
1k1r3r/1p1n3p/p2Q1p2/2P1n3/8/1q2B3/4BRPP/R5K1 b - - 0 28,1174
3r3k/p1q3pp/2P1Qp2/1P2p3/P6P/2B3P1/5P2/5BK1 w - - 3 39,1175
3r1r2/1Q1nqpk1/p7/2p5/P1B1p3/7R/1P1R1PPp/7K w - - 2 29,1176
1kr1rb2/8/1q1P1p1p/1pn1pNpQ/3p4/3P1B2/1P3PP1/R1R3K1 b - - 0 36,1177
8/5k2/3P4/4p1pp/3rP3/4K1P1/5P2/3R4 w - - 1 49,1178
2b2rk1/2q1p1b1/p2p4/2pP1P2/1rB4Q/1PN3RP/P5P1/4R2K b - - 0 27,1179
rn2k1r1/pp2pp1p/4b1p1/3p4/2q5/2B3P1/PP1QPPBP/R4RK1 b q - 3 15,118
3Q4/2R3qk/6pp/1p6/r3b1pP/P5P1/1P2PP2/6K1 w - - 2 40,1180
4B2n/7P/3p4/2pPk3/2P5/1K6/8/8 b - - 1 59,1181
5b1k/8/1r3p1P/p1p1pB2/P1p1P3/3PB1R1/5P2/2K5 w - - 4 47,1182
8/5NBk/pp2pPp1/3p3p/P2n4/6P1/2r2P1P/4R1K1 w - - 0 41,1183
8/6pk/P6p/7P/1p2pN2/1Pn3P1/q4P2/5QK1 w - - 1 51,1184
r3b3/2p2kpp/5p2/1P5q/2P5/3Q2R1/5PP1/4R1K1 w - - 1 33,1185
5R2/7k/5Pp1/P5p1/1P4K1/r6P/8/8 w - - 3 49,1186
r7/P3k3/1KR3p1/2p4p/2Pp4/6P1/7P/8 b - - 1 56,1187
1rbq1rk1/p1Np1p1p/1p1P2p1/nP6/4Q3/3B1N2/P4PPP/R4RK1 w - - 1 22,1188
rb3rk1/1b1n1ppp/pp2q3/4pN2/PP2PP2/B4N1B/1Q3P1P/2RR2K1 b - - 0 25,1189
r3rbk1/1p5p/1q2P1p1/7n/2Bp4/5N2/5PPP/2R1QRK1 b - - 1 26,119
5rk1/4Rr2/1p4pB/3Q4/3N3P/6P1/P4P1K/3q4 b - - 0 57,1190
r4rkb/pn1b1q2/R6p/1Ppp1p1N/3p1P2/5Q1P/1PP2BP1/4R1K1 w - - 0 28,1191
8/8/4rk2/P1R5/1P4p1/4p3/4K3/8 w - - 2 47,1192
5r1k/pp1q3p/n5p1/2pPrpBQ/4N3/8/PP4PP/R3R1K1 w - - 0 19,1193
8/1P6/3K4/1r6/4B3/4kP2/8/8 w - - 1 57,1194
8/8/8/3k3p/2pP2pP/2K3P1/8/8 b - - 0 45,1195
8/4k3/p1p5/P4Pp1/6P1/4K3/8/8 b - - 0 45,1196
r6r/p1p2k1p/1p2qp2/2b5/8/5Q2/PB3PPP/RN3RK1 w - - 0 21,1197
r3q3/3bk3/pp4p1/2pPQpN1/P1P5/1PNB4/5PPP/6K1 b - - 4 36,1198
rn2k2r/ppq1b1p1/7p/4pp1P/2B2N1R/2P5/PP2QPP1/R3K3 w Qkq - 2 20,1199
3rrk2/2p3p1/pp3pqp/4n3/2P1R3/1P2Q1NP/1P1R1PP1/6K1 w - - 2 38,12
r3r1k1/1bqn1pbp/pp1p1np1/2pP2B1/P1N1P3/2N5/1PQ1BPPP/R4R1K b - - 3 15,120
6k1/5p2/2R4p/2pP1P2/3b1p2/5QP1/1r3PKP/4r3 w - - 2 33,1200
r1b1R3/pp5k/2ppPb1p/7n/2P1B1pN/2N3P1/PP1B1r1P/R6K b - - 5 21,1201
r1b2r1k/pppp1p1p/2n4p/1N2p3/2BbP1Q1/3P4/PPP2PPP/R4RK1 w - - 2 12,1202
5r2/1R6/3p1kpp/3P4/8/rB5P/5PP1/4R1K1 w - - 3 40,1203
r4rk1/3b2pp/pq5n/1pNQ4/3N4/8/P3BPPP/2R2RK1 b - - 0 24,1204
6k1/3r1rp1/p7/1p2QP2/7P/1qBp4/1P4P1/3R1R1K w - - 2 39,1205
8/1k5p/5pp1/3K4/5P2/6PP/8/8 b - - 1 39,1206
2nQr1k1/p1P2p1p/6p1/PBp5/4qB2/8/1P3bPP/3R2K1 w - - 0 26,1207
2r3k1/6qp/p1P5/Q3pbp1/8/5B1P/P5P1/3R3K w - - 0 39,1208
r4r1k/2P1q1bp/p2n2p1/2Q1PpN1/1p3P2/5N2/PP4PP/4R1K1 w - - 0 26,1209
6k1/2R4p/6p1/4N1P1/5P2/2n2BKP/3rb3/8 b - - 5 50,121
r5k1/qp1r1p1p/p2Pb1pQ/P1p1B3/1n6/5B1P/1P3PP1/R3R1K1 b - - 6 25,1210
8/p7/6K1/1k3p2/7p/P6P/6P1/8 w - - 1 54,1211
5rk1/1b1Q3p/4p1p1/q5N1/p3pP2/2P3P1/P3R2P/6K1 b - - 3 35,1212
2q5/7P/8/1p4k1/p6R/P7/KP6/8 w - - 2 53,1213
rqbb1nk1/1p4n1/2pp3p/p4P1P/2P1N3/1P4N1/P4QB1/3RR1K1 w - - 0 32,1214
7k/6bp/3q2p1/p7/7P/PPQ1P3/5PP1/2R3K1 w - - 4 36,1215
8/2k5/p5p1/1p5p/1P2K1PP/5P2/8/8 w - - 1 55,1216
2br3r/2k3pp/p1n1p3/1p2Pp2/5P2/1NPBQ3/1R3KPP/8 w - - 1 28,1217
8/b4p2/5k1p/7P/P1P5/5P2/3R1P2/1K6 w - - 1 40,1218
2r2b1k/7p/4Q3/7N/Pp1P4/7P/1Pq2PP1/5RK1 w - - 1 33,1219
3r2k1/pp1rqpp1/1nn1p2p/P3Pb2/2PP4/1Q3N2/4B1PP/2RRB1K1 b - - 0 21,122
2b1B2k/2n1q2p/1p2p1RQ/p1bpPp2/3B1P2/2P5/PP5P/7K w - - 5 37,1220
8/6p1/P7/1R1pk2p/8/2P5/K7/7r b - - 2 60,1221
4R3/5r2/8/6KP/3k4/8/8/8 b - - 2 65,1222
5n2/1p5k/3R2pp/2pBb3/2P3P1/2q5/4QB2/6K1 w - - 0 40,1223
2r5/PKNk4/3p4/3P2pp/2PN4/6P1/8/8 b - - 0 76,1224
5r1k/6pB/2b1p3/3pP1N1/2p3P1/2n1B3/2Q2P1P/2b3K1 b - - 2 32,1225
3R1b2/r4kp1/5p2/2pNPK1P/3p1P2/3P4/2P5/8 b - - 0 51,1226
8/6r1/P1k5/7R/5K1P/8/8/8 b - - 0 59,1227
5rk1/3n2pp/p1rN1p2/1p1bpP2/8/P5PP/1PP1R1B1/R5K1 w - - 2 25,1228
8/6pk/7p/2P1Q3/8/5P1P/6PK/2q5 b - - 0 55,1229
r4rk1/3p1pbp/p1b1p1p1/1p1Nq1Pn/4P3/1BPQBP2/PP5P/R3K2R w KQ - 0 16,123
r7/3R4/pP2B1p1/2p3k1/4p3/4P3/PP4Pr/2K2R2 w - - 0 30,1230
3k4/4n3/2p1p1p1/1pP1N3/1P2P1P1/4K2P/8/8 w - - 1 49,1231
Rn2r1k1/2q4p/3N4/2pP3p/3b2b1/6QP/1P3pPB/5R1K b - - 0 26,1232
3r4/1P6/5kp1/4pp2/3p4/8/3R3P/5RK1 w - - 0 46,1233
1r3n2/1r5k/3p1pPP/1npPp3/q1B1P2P/6R1/PPR5/2KN2Q1 b - - 0 39,1234
1R5r/P3kn1p/3p1ppb/2pPp3/4P3/2B2P2/4bKPP/8 w - - 0 29,1235
5k2/5p2/5K2/2p1PP2/3r4/6R1/8/8 w - - 5 49,1236
1r1r4/4Q2p/4p1k1/1p1n1N2/8/6P1/P3qP1P/1R3RK1 w - - 1 30,1237
8/6k1/3p4/p2P1PPK/8/1P6/6P1/2b5 w - - 3 43,1238
6k1/5p1p/P5p1/2q5/8/3Q3P/5PP1/6K1 b - - 0 38,1239
1rb1r1k1/1pqn1pbp/p2p2p1/3P3n/P1p1PPP1/N1N1B2P/1P4B1/R2Q1RK1 b - - 0 18,124
5r2/Q1p1N1bk/3p2p1/3qpb1p/1P2N3/3B1p2/2KB1P2/7R b - - 1 35,1240
3Q4/r4pkp/3p2p1/1B1P4/P3r3/7P/6PK/8 w - - 0 37,1241
2r5/2pq1pbk/4p1p1/pPBp3p/Q7/2P1P3/P2N1PPP/2RR2K1 b - - 1 21,1242
3q1k2/6nQ/3p2B1/2pnb1P1/2p1N3/1r3r2/1P1B4/R3R1K1 w - - 2 32,1243
2r3k1/p1q1Q2p/3p2p1/1p1P4/3B1Pb1/1P6/P1r5/1K1R3R w - - 1 25,1244
6k1/3rrp2/1n1N1Qpp/q2P4/Pp6/6P1/4bPBP/1R2R1K1 w - - 2 28,1245
r5k1/3qp3/P2p1pn1/1r1P3Q/1P2PP2/2B3K1/R7/1R6 b - - 2 42,1246
8/p7/1p2Nq1k/2p4p/1P3p2/P7/6Q1/5RK1 w - - 4 43,1247
7r/3kpp2/p2p3p/5P2/6Q1/q1r1R1P1/5PP1/3R2K1 w - - 2 29,1248
8/pk1PK1p1/1p5p/6r1/P5p1/4P3/8/6R1 b - - 0 45,1249
4rrk1/ppp3bp/5pp1/3np1B1/4P3/6P1/PP1N1P1P/R1R3K1 w - - 0 19,125
8/2P1nk2/5p2/2K4P/3p4/8/3B4/8 b - - 2 59,1250
r7/6P1/3p4/2pPpR2/1n2P3/1P2kP2/1K6/6R1 b - - 0 53,1251
Rr1q4/1P1nbk2/2Qp4/3Pp3/4Pp1p/2p2P1P/6P1/1R4K1 w - - 0 36,1252
1Q4R1/b1rq2kp/6p1/8/1P3P2/6PP/P5BK/8 b - - 2 38,1253
7k/1P1b3p/6p1/P3b3/4P3/5N2/3RB2r/5K2 b - - 2 52,1254
8/4k3/3N2p1/2KP2P1/PP3P2/8/8/5r2 w - - 3 51,1255
r1bqr1k1/pp6/3PpNpp/2p5/8/5N2/PP2Q1PP/R4RK1 b - - 0 19,1256
8/8/4kpK1/3p3p/3P3P/6P1/8/8 b - - 0 42,1257
3kbQ2/r4p2/3PpPr1/2n5/1R6/2P5/2P4P/2K5 b - - 10 31,1258
8/pp1RQ2p/7k/1p3qr1/6p1/4P1P1/P4P1P/6K1 w - - 8 32,1259
2kr2nr/ppp2ppp/2qpb3/2bNP3/4P3/1QP2N2/P4PPP/R1B1K2R w KQ - 7 15,126
3r3k/6p1/6p1/3p3n/P2P4/2N5/1P3PPP/R4RK1 w - - 0 26,1260
1r1b2k1/p5pn/1r1Pp1p1/8/2Q2B2/6P1/5P1P/3R2K1 w - - 0 35,1261
2k5/8/5K1p/Pp2R2P/1r4P1/5P2/8/8 w - b6 0 48,1262
8/8/N1Q5/8/8/KP6/P6k/5q2 w - - 7 61,1263
7r/1pr5/2p1P2k/3pK2R/1P6/4P3/8/6R1 b - - 0 57,1264
6k1/5p2/6p1/P1Q4p/7P/5qP1/5P1K/8 b - - 0 38,1265
8/3nk3/4p2B/4P2B/4K3/8/8/8 w - - 1 73,1266
7k/1p6/5r2/p1pPp2R/P1P1Kp2/8/1PB5/8 b - - 0 52,1267
8/8/2b3k1/4p2P/4N1P1/5P1K/8/8 b - - 0 50,1268
8/5k2/1R6/8/5P2/5K2/r5P1/8 w - - 7 49,1269
r1bq1rk1/1pn1ppb1/p2p1npp/2pP2B1/P1P1P3/2NB4/1P2NPPP/R2Q1RK1 w - - 0 11,127
8/1K2Bk2/4p3/4P2p/1PP5/8/8/8 b - - 0 52,1270
r2q1k1r/ppp1n1pp/8/3pbBB1/8/5Q2/P4PPP/5RK1 w - - 0 17,1271
8/4R3/p1P5/P1P5/5nk1/6pp/8/6K1 b - - 0 74,1272
4rk2/2RP1p2/8/1p1KP1p1/1p5p/1P3P2/8/8 b - - 0 40,1273
8/kp5p/p6R/P6P/1r4P1/6K1/5P2/8 b - - 1 40,1274
3R4/8/1P2k1p1/6Bp/8/1p3Pb1/1Pb3P1/2K5 w - - 3 36,1275
8/2k5/2P1p3/pP4Pp/P3KP2/2r2N1P/8/8 b - - 4 50,1276
1N5r/P4p2/3p1k2/1K4n1/5p2/7P/8/6R1 b - - 1 66,1277
8/p7/1p6/6kp/3pP3/1P1K2P1/P7/8 b - - 1 38,1278
1r2nb1r/QBq1kppp/1pP1p3/3p4/3P4/2N2N2/PP3PPP/R3K2R w KQ - 1 15,1279
1r1q1rk1/3bppbp/p2p1np1/n1pP4/2p5/1P4P1/PBQNPPBP/3NRRK1 w - - 0 15,128
2rk1n2/pR5p/3P2p1/2p5/3Q4/8/P5PP/4R1K1 b - - 0 31,1280
8/4R1p1/P4p1p/5k2/2B1p3/6P1/r4PKP/8 b - - 1 51,1281
2b1Q2k/p1p4p/2N2qp1/3P1p2/8/8/P5P1/b2N1RK1 b - - 2 30,1282
r4n1k/1p1n1B1p/p7/q2PpP2/1RP1N3/7P/6Q1/6K1 b - - 5 39,1283
1r5k/p2p1p1p/bp1P4/3B4/6R1/7P/PP3PP1/4R1K1 w - - 6 28,1284
2nN1Qbk/p5r1/1r3N1p/1p3p2/5P2/6qP/P5B1/3R2RK b - - 2 38,1285
1r6/8/kb2R3/1pp2p2/p2p2pR/PP1P4/B2N1PPP/6K1 b - - 0 36,1286
8/6R1/3k1K2/5p1P/p4P2/4r1P1/8/8 w - - 0 49,1287
4k3/4Rp2/3p4/2pP3K/1p3P2/1P6/P7/8 b - - 0 58,1288
r4b1r/p1qnkBpp/2p5/1p2p1N1/1P6/2P1P3/P5PP/R2Q1RK1 w - - 1 18,1289
r1bq1rk1/1pp2pp1/p1np4/2b3p1/4Pp2/1BPP1N1P/PP3P2/R2QKN1R w KQ - 0 13,129
8/4k3/2P5/8/2PK4/1r3P1R/8/8 b - - 0 74,1290
8/2p2P2/q1k5/8/3PQ2K/6P1/8/q7 b - - 1 61,1291
3r4/1qQP2pk/5p1p/pp3P2/5B2/7P/2P3P1/3R3K b - - 3 42,1292
6k1/1R6/8/6KP/r5P1/8/8/8 b - - 8 48,1293
1R6/4p2r/2k1p1p1/2PbB3/pP1K1P2/P7/8/8 w - - 4 55,1294
4k3/5pK1/1p5p/p1p4P/2P2P2/PP6/8/8 b - - 3 44,1295
8/8/4nk2/7P/4P1B1/4K1P1/8/8 b - - 2 63,1296
6k1/1q3p2/6p1/3P3p/3Q3P/2P3P1/5PK1/8 w - - 1 50,1297
k2r1r2/1bn2pb1/p1pNp1p1/1pP1P1Pp/2P1NP2/4B2P/PQ6/2K4R w - - 1 28,1298
3q2rk/pp2pp1p/3pb1PQ/4P3/2rN4/2N2P2/PPP5/2KR3R b - - 0 21,1299
8/5k1p/2p5/2R5/2P2K2/4P3/6r1/8 w - - 0 37,13
r5k1/3nppbp/r2p1np1/q1pP4/4P3/2N2N1P/PPQB1PP1/R4RK1 b - - 4 14,130
3r1k2/pp1PR3/5p2/5NnP/8/8/PPK5/8 w - - 1 45,1300
8/2N2R2/1pk5/p3P3/5P2/7K/4r2P/8 w - - 3 46,1301
1r6/1P4k1/6p1/1R6/6K1/6P1/8/8 w - - 11 55,1302
8/3k2P1/5b2/3P3p/2p4N/6PK/4r3/8 w - - 0 45,1303
1n2r1k1/5rp1/6Np/pP6/P1Q5/B1PP3P/3q1bP1/R4R1K w - - 0 28,1304
8/7k/R2R2p1/p1q2p1p/P6P/6P1/5PK1/8 w - - 19 65,1305
8/4RP2/7k/2ppP2p/2p4P/8/5r2/3K4 b - - 2 53,1306
2k4r/p7/4P1P1/4P2p/2prBB1K/5Q2/1P2q2P/5R1R b - - 0 30,1307
Q7/6R1/3p4/2pP3P/1kn2P2/2q5/Pn4P1/6K1 w - - 1 35,1308
3R4/1k4p1/pPp1P1rp/8/1P1B4/P3K3/8/8 b - - 0 50,1309
r3r1k1/1q1p1pbp/n4np1/2pP4/5B2/P1NQ1NP1/1P3PKP/1R5R b - - 2 16,131
8/pp3p2/5k2/3P3p/7P/6P1/PP4K1/8 w - - 0 39,1310
8/6k1/P2p2q1/1P1Pp1b1/5p2/2r3PQ/R4P2/5RK1 b - - 1 48,1311
8/5pk1/5np1/7q/P2QN3/1P3Pr1/4R1P1/6K1 b - - 7 47,1312
r1qr1b1k/pp4n1/3P1npB/2P2p2/4pN2/4Q1PP/P4P1K/2RR1B2 w - - 2 31,1313
4r3/p2r2kp/p2Pppp1/8/3N1BPP/1B6/P5K1/3R4 b - - 1 31,1314
4R3/2P1ppkp/3p2p1/2p5/3bP3/5P2/6PP/r2B1K2 w - - 1 32,1315
5r2/pp2RBk1/1qnp2br/6Q1/3P4/6B1/PP3PP1/R5K1 w - - 2 26,1316
2r5/8/6P1/2p3k1/P1Kp4/1P6/3R4/8 w - - 1 53,1317
1Q6/6pk/7p/P7/8/1P1q3P/6PK/8 w - - 3 45,1318
6q1/1p6/1k2pQ2/p1p3KP/P1P3P1/1P6/5P2/8 w - - 13 49,1319
r2q1rk1/p3ppb1/bpnp2pp/2p5/4P2B/2PP4/PPB2PPP/R2QRNK1 w - - 3 16,132
2R5/7p/5kp1/2pp4/8/5KP1/5P2/8 b - - 1 39,1320
1R1b4/P7/6k1/4Ppp1/6p1/1P2BK1P/r7/8 w - - 0 50,1321
k7/1p4p1/2PQp2p/1P2P2P/2q3P1/8/KP6/8 w - - 1 49,1322
1k1r3r/3q2pp/pP6/3P1p2/1Q2pB2/2N5/1P3PPP/5RK1 b - - 1 25,1323
2brr1k1/1p4pp/p3Pn1q/Q2P1R2/8/1P4R1/PB4BP/7K b - - 0 30,1324
r4rk1/pbq2p2/1p2pp1p/2b1N3/8/3B4/PPP1QPPP/3R1RK1 w - - 0 17,1325
8/8/8/6p1/p3k3/P5PP/1P3K2/8 b - - 0 45,1326
6r1/1K6/8/1P6/8/RR6/4r1k1/8 w - - 7 54,1327
8/p5p1/2PpkN1p/P3p3/4P3/3K2P1/7P/8 b - - 0 49,1328
2q2r1k/5pbp/p5p1/1pr1pP2/P1p1N3/7R/1PQ1B1PP/5RK1 w - - 2 27,1329
5rk1/rpqnpp1p/3p2p1/PR1P4/4PP2/8/P2QB1PP/5R1K w - - 3 22,133
2k5/3RK3/8/5p2/8/3p1bP1/8/8 b - - 5 70,1330
4k3/R7/3K4/PP1P4/8/6p1/4r3/8 b - - 0 59,1331
7r/2K2k1P/7R/8/4P3/8/8/8 w - - 3 66,1332
3r2k1/6p1/6Np/2pB4/P1Qp2q1/4p3/6P1/3R2K1 b - - 0 44,1333
8/8/7p/6p1/Pk4P1/3K4/7P/8 w - - 2 51,1334
5Q2/1p6/pk2P3/2P1r3/3p4/P2q2pR/6P1/5R1K b - - 0 47,1335
4kr2/p1r1bNp1/2p1Q2p/3n3P/qp1P4/5R2/PPPB1PP1/1K2R3 b - - 2 29,1336
3r4/4N1k1/3p1pqp/3Rp1n1/2Q1P1P1/2P1P1K1/P7/8 w - - 2 41,1337
8/p3rk2/5p1p/2P5/6Q1/1P6/P7/1K6 b - - 0 46,1338
5rk1/1n4np/1q1p4/p2P4/1pP1QbN1/1N6/P6P/1R3R1K b - - 0 30,1339
r1b1nrk1/ppqn1pb1/2pp2pp/3Pp3/2P1P3/2N2NP1/PP2QPBP/R1B2RK1 w - - 0 12,134
6k1/1q3pbp/pP1p2p1/P2R4/1Qp5/5P2/5BPP/6K1 b - - 0 34,1340
8/p1k5/P1P2pp1/2K5/5P1p/7P/5P2/8 w - - 0 47,1341
8/6r1/2Pq1k1b/3Ppp2/5p2/5P1P/PP2Q1P1/2RR2K1 w - - 1 38,1342
5b2/5k2/p1K2p2/5P1P/1P6/8/3B4/8 b - - 6 59,1343
7R/kp6/p2K4/2pP4/P1P5/1P2r3/8/8 w - - 9 51,1344
3k4/6p1/2K4p/2P1p2P/5bP1/p2P4/8/5R2 w - - 5 50,1345
8/3k4/8/5K1P/1Rp3P1/8/8/2r5 w - - 4 60,1346
1q6/4Rbk1/1p3r2/n1pP1ppr/2P5/2QB1N2/P5P1/4R1K1 w - - 0 37,1347
r1q1k2r/pN1b3p/2p1p1p1/4Pp2/2pb1P2/B5Q1/P1P3PP/1R3R1K b kq - 1 21,1348
8/P4p1k/6p1/7p/2PQp3/6PP/q4PK1/8 b - - 4 40,1349
r1bq1rk1/p2n1ppp/2pbpn2/8/1p1PP3/2NB1N2/PP3PPP/R1BQ1RK1 w - - 0 11,135
5rk1/1p2pp1p/7B/p4p2/2q5/5B2/P1P2PPP/2QR2K1 b - - 1 22,1350
2k5/8/4RK1p/7P/1r3PP1/8/8/8 w - - 1 51,1351
5r2/4N1kp/3pPpp1/1q1P1P2/8/2B1Q1PP/p5K1/1rR2R2 b - - 0 37,1352
2Q5/pp2q3/3p1k1r/2pPp3/P1P3Rp/1P3PP1/5K2/8 w - - 9 52,1353
4k3/R7/6pB/P1n1p2p/3p3P/8/2P2PP1/6K1 b - - 0 32,1354
3r2k1/3r1q2/P7/4B3/4QP1P/6P1/2R4K/8 w - - 1 41,1355
5bk1/5q2/P4r1p/1Nprp1p1/2B5/1P3P2/P1Q3PP/5R1K w - - 0 26,1356
8/5pk1/PQ4p1/3q3p/7P/6P1/5P1K/8 b - - 0 49,1357
3n1R2/8/8/1K2N1pk/3pP3/1r1P2P1/8/8 w - - 3 61,1358
8/8/3k4/P5p1/1P1K1n2/2P5/4B3/8 w - - 9 54,1359
3r2k1/1pp3p1/1pn1pq1p/4p3/4P3/2P2N1P/PP2QPP1/3R2K1 w - - 0 22,136
r1q2r2/1p2ppbk/3pbn1n/p4p2/P2NP1p1/2N1B2P/1PPQB3/2KR3R w - - 0 19,1360
3q2k1/ppp2Npp/8/7n/2B4n/7P/PP3PP1/RN4K1 w - - 0 22,1361
6rk/5qb1/p3Rn1p/2pPN3/2P3P1/4B3/P2Q1P1r/2K3R1 b - - 0 33,1362
R7/P6k/r4K2/5p2/5P1P/8/8/8 w - - 3 55,1363
8/5pkp/3Q2p1/2pP1P2/r7/4q2P/6PK/5R2 w - - 0 38,1364
5k2/8/8/6PP/p1p5/2B5/1Pb1K3/8 b - - 0 48,1365
8/8/1K6/PN2kppp/8/1P3P2/6nP/8 b - - 0 43,1366
2r5/p2b2k1/1p1P3p/4p1p1/2P2p1P/P2Q4/5PP1/6K1 w - - 0 34,1367
r4r2/1p1qppk1/p2p2p1/7P/4P3/1PN2Q2/1PP5/1K1R3R w - - 1 23,1368
2r2rk1/6b1/p3P1p1/3Q2Bp/4N1q1/5nN1/1PB3P1/R5K1 w - - 5 33,1369
5rk1/4b2p/4p3/p1P1qpp1/Pp6/1Pn1P1P1/2Q1NP1P/R4RK1 b - - 1 24,137
2k2rn1/pp1n4/2p1B1bp/4P1p1/8/4B1N1/PP3PPP/2R2RK1 w - - 2 20,1370
1br5/8/R1b1n2R/3ppkB1/5p1P/1P2P3/2P2PPN/6K1 w - - 12 38,1371
r5k1/5pnr/pp1p1q2/2pPpPn1/P1P3B1/2NKQP2/1P5R/7R w - - 5 31,1372
3r1k2/p4pR1/3b3P/1p1P1N2/6Q1/2p5/PPK4q/8 w - - 5 41,1373
6k1/7p/3r2p1/pq1P1p2/1P6/1QR1P1PP/5P2/6K1 w - - 0 39,1374
6k1/p2N2p1/1p2r2p/8/4P3/2P5/P4PPP/R4RK1 w - - 1 24,1375
r4qn1/3k4/2pPp1p1/5pB1/1P6/2Q4P/P1P2PP1/3R2K1 b - - 5 31,1376
R4b1r/1p2k3/5pp1/8/1ppPP3/4BP1p/1K4PP/R7 w - - 0 28,1377
8/3B4/1p5P/p1p1k3/2Pb1p2/3R4/P3KP1P/r7 w - - 0 52,1378
8/4r1k1/2pR2nb/p3pP2/P4p2/2P2N2/5PPP/3R2K1 b - - 0 42,1379
8/1pr1qppk/3N2b1/2Pn3p/3Qp3/4P1PP/1R3PK1/8 w - - 0 40,138
8/8/1P4Q1/4kp2/3pq3/p6P/P3r1P1/5R1K w - - 7 68,1380
8/8/7p/4kPp1/pP4P1/3K4/7P/8 w - - 0 44,1381
1rb1Rr1k/p2p2p1/1p1p1q1p/3B1nNQ/7P/8/PP3PP1/4R1K1 b - - 3 20,1382
r1q1r1k1/pQPn1p2/B6p/4p3/4P1p1/B1P2P2/P4KPP/3R4 w - - 0 23,1383
5r1k/5p1n/ppr4R/8/Pnq1N1QP/8/1P4B1/5R1K w - - 3 33,1384
6n1/1pb3k1/p3Pr1p/8/2P4P/PP4P1/1B3Q2/7K w - - 2 40,1385
2B5/6k1/p2p2n1/2pPbQ1p/2P4P/6PK/R6B/7q b - - 0 45,1386
8/1K6/2P1kP1p/1r6/7p/5P2/3R2P1/8 w - - 1 59,1387
r3qk2/3nN1b1/pp1P1n2/2p1p1B1/P2r4/5B1Q/1P6/4RRK1 w - - 11 31,1388
8/6R1/5p1p/5N2/5kP1/7P/6PK/3r4 w - - 1 50,1389
1rb1r1k1/1p2ppbp/p1p2np1/4n3/PPPP1P2/2N1B1P1/6BP/R2R2K1 w - - 0 16,139
8/1r5k/5R1p/6p1/3B4/1P1B2Pb/7P/6K1 b - - 2 36,1390
8/5P1N/8/p3p3/kbP1K3/3P4/8/8 w - - 0 64,1391
4nnk1/r5q1/1p1p1pPB/2pPpP2/r1P3B1/P6R/4Q1K1/7R b - - 2 34,1392
7k/3br2p/1p1Q4/p1pp1P1p/2Pb4/8/PP4PP/7K w - - 0 30,1393
8/8/5P2/p3k3/2r5/P4RKP/8/8 b - - 0 58,1394
5b2/R7/2p4p/p1p3p1/P4kP1/1P1K3P/8/8 w - - 12 49,1395
2kr3r/pp1n1Bpp/2b5/4B3/1Q6/2P5/P4PPP/2KR3R b - - 0 19,1396
1r6/6k1/3Q1pp1/2pP2p1/2B1P3/2P5/3q1PK1/8 w - - 1 42,1397
1rq2rk1/2n2p1p/pp1p1Bp1/2pP1B2/P1P4Q/5R1P/1P4P1/R5K1 b - - 0 24,1398
